Course,CC,GP,inc,Evie
Paris Promenade,150,Vs,2,1
Sky High Sundae,150,Vs,1,4
Cheese Land,150,Vs,2,1
Rainbow Road,150,Vs,6,1
Neo Bowser City,150,Vs,3,1
Shroom Ridge,150,Vs,3,1
Yoshi Mountain,150,Vs,2,1
Royal Raceway,150,Vs,2,1
Wild waterways,Mirror,Vs,1,6
Twisted Mansion,Mirror,Vs,2,1
Choco Mountain,Mirror,Vs,2,1
Peach Gardens,Mirror,Vs,4,1
Merry Mountain,Mirror,Vs,2,1
Paris Promenade,Mirror,Vs,1,2
Mario Circuit,Mirror,Vs,2,1
Grumble Volcano,Mirror,Vs,6,1
New York Minute,200,Turnip,2,1
Mario Circuit 3,200,Turnip,1,4
Kalimari Desert,200,Turnip,2,1
Waluigi Pinball,200,Turnip,6,1
Sunshine Airport,150,Star,3,1
Dolphin Shoals,150,Star,1,2
Electrodrome,150,Star,1,3
Mount Wario,150,Star,1,2
Mario Circuit 3,150,Vs,1,2
Wario Mine,150,Vs,1,2
Wild waterways,150,Vs,1,7
Shy Guy Falls,150,Vs,3,1
Berlin Byways,200,Moon,6,1
Peach Gardens,200,Moon,2,1
Merry Mountain,200,Moon,1,2
Rainbow Road 3DS,200,Moon,6,1
Amsterdam Drift,150,Fruit,2,1
Riverside Park,150,Fruit,4,1
DK’s Snowboard Cross,150,Fruit,9,1
Yoshi’s Island,150,Fruit,5,1
Bangkok Rush,150,Boomerang,4,2
Mario Circuit DS,150,Boomerang,2,1
Waluigi Stadium,150,Boomerang,6,1
Singapore Speedway,150,Boomerang,1,3
Sydney Sprint,150,Propeller,1,2
Snow Land,150,Propeller,2,1
Mushroom Gorge,150,Propeller,2,1
Sky High Sundae,150,Propeller,6,1
Neo Bowser City,150,Bell,1,6
Ribbon Road,150,Bell,2,1
Super Bell Subway,150,Bell,5,1
Big Blue,150,Bell,1,3
New York Minute,200,Turnip,4,1
Mario Circuit 3,200,Turnip,2,1
Kalimari Desert,200,Turnip,6,1
Waluigi Pinball,200,Turnip,8,1
Wario Stadium,150,Leaf,2,1
Sherbert Land,150,Leaf,2,1
Melody Motorway,150,Leaf,1,2
Yoshi Circuit,150,Leaf,1,2
Paris Promenade,150,Golden Dash,1,2
Toad Circuit 3,150,Golden Dash,3,1
Choco Mountain,150,Golden Dash,2,1
Coconut Mall,150,Golden Dash,2,1
Baby Park,Mirror,Crossing,3,1
Cheese Land,Mirror,Crossing,1,2
Wild Woods,Mirror,Crossing,1,4
Animal Crossing,Mirror,Crossing,2,5
Bangkok Rush,150,Boomerang,2,1
Mario Circuit DS,150,Boomerang,3,1
Waluigi Stadium,150,Boomerang,7,1
Singapore Speedway,150,Boomerang,2,1
Sky Garden,Mirror,Vs,1,2
Mario Circuit GBA,Mirror,Vs,2,1
Dry Dry Desert,Mirror,Vs,2,1
Toad’s Turnpike,Mirror,Vs,3,1
Bangkok Rush,Mirror,Boomerang,5,1
Mario Circuit DS,Mirror,Boomerang,1,6
Waluigi Stadium,Mirror,Boomerang,1,2
Singapore Speedway,Mirror,Boomerang,2,1
Baby Park,200,Crossing,1,3
Cheese Land,200,Crossing,9,1
Wild Woods,200,Crossing,6,1
Animal Crossing,200,Crossing,6,1
London Loop,150,Rock,1,2
Boo Lake,150,Rock,6,1
Alpine Pass,150,Rock,2,1
Maple Treeway,150,Rock,2,1
Sunshine Airport,Mirror,Star,3,1
Dolphin Shoals,Mirror,Star,2,1
Electrodrome,Mirror,Star,3,1
Mount Wario,Mirror,Star,1,3
Tick-Tock Clock,200,Lightning,5,1
Piranha Plant Pipeway,200,Lightning,6,1
Grumble Volcano,200,Lightning,2,1
Rainbow Road N64,200,Lightning,3,1
Kalimari Desert,Mirror,Vs,1,2
Rainbow Road 3DS,Mirror,Vs,2,1
London Loop,Mirror,Vs,8,1
Mario Circuit,Mirror,Vs,1,2
Bangkok Rush,Mirror,Boomerang,2,1
Mario Circuit DS,Mirror,Boomerang,2,1
Waluigi Stadium,Mirror,Boomerang,2,1
Singapore Speedway,Mirror,Boomerang,4,1
Mario Kart Stadium,200,Mushroom,3,1
Water Park,200,Mushroom,1,3
Sweet Sweet Canyon,200,Mushroom,3,1
Thwomp Ruins,200,Mushroom,2,1
Mario Kart Stadium,200,Mushroom,2,1
Water Park,200,Mushroom,3,1
Sweet Sweet Canyon,200,Mushroom,9,1
Thwomp Ruins,200,Mushroom,2,1
Mario Kart Stadium,150,Mushroom,1,2
Water Park,150,Mushroom,1,2
Sweet Sweet Canyon,150,Mushroom,2,1
Thwomp Ruins,150,Mushroom,1,2
Yoshi Circuit,150,Egg,2,1
Excite Bike Area,150,Egg,2,1
Dragon Driftway,150,Egg,1,2
Mute City,150,Egg,4,3
Dry Dry Desert,150,Banana,1,2
Donut Plains 3,150,Banana,2,1
Royal Raceway,150,Banana,1,2
DK Jungle,150,Banana,1,2
DK’s Snowboard Cross,Mirror,Vs,3,1
Choco Mountain,Mirror,Vs,1,5
Waluigi Pinball,Mirror,Vs,2,1
Thwomp Ruins,Mirror,Vs,1,2
Cloudtop Cruise,Mirror,Special,6,1
Bone Dry Dunes,Mirror,Special,1,2
Bowswer’s Castle,Mirror,Special,1,2
Rainbow Road,Mirror,Special,4,1
Koopa City,100,Bell,1,2
Ribbon Road,100,Bell,2,1
Super Bell Subway,100,Bell,1,2
Big Blue,100,Bell,1,4
Berlin Byways,50,Moon,2,1
Peach Gardens,50,Moon,1,2
Merry Mountain,50,Moon,2,1
Rainbow Road 3DS,50,Moon,2,1
Electrodrome,50,Vs,2,1
Donut Plains 3,50,Vs,2,1
Rainbow Road 3DS,50,Vs,4,1
London Loop,50,Vs,1,3
London Loop,150,Rock,1,6
Boo Lake,150,Rock,4,1
Alpine Pass,150,Rock,2,1
Maple Treeway,150,Rock,4,1
Tick-Tock Clock,150,Lightning,6,1
Piranha Plant Pipeway,150,Lightning,2,1
Grumble Volcano,150,Lightning,3,1
Rainbow Road,150,Lightning,3,1
Baby Park,150,Crossing,5,1
Cheese Land,150,Crossing,2,1
Wild Woods,150,Crossing,1,2
Animal Crossing,150,Crossing,2,1
Rainbow Road 3DS,Mirror,Vs,7,1
Mario Circuit,Mirror,Vs,2,1
Dolphin Shoals,Mirror,Vs,3,1
Sweet Sweet Canyon,Mirror,Vs,1,4
Amsterdam Drift,100,Fruit,2,1
Riverside Park,100,Fruit,2,1
DK’s Snowboard Cross,100,Fruit,2,1
Yoshi’s Island,100,Fruit,1,2
Paris Promenade,150,Golden Dash,2,1
Toad Circuit 3DS,150,Golden Dash,3,1
Choco Mountain,150,Golden Dash,2,1
Coconut Mall,150,Golden Dash,3,1
Koopa City,150,Vs,3,2
Mario Circuit,150,Vs,1,6
Mario Circuit DS,150,Vs,2,1
Waluigi Stadium,150,Vs,1,3
Sunshine Airport,200,Star,4,1
Dolphin Shoals,200,Star,1,3
Electrodrome,200,Star,2,1
Mount Wario,200,Star,2,1
Amsterdam Drift,Mirror,Fruit,1,2
Riverside Park,Mirror,Fruit,1,2
DK’s Snowboard Cross,Mirror,Fruit,2,1
Yoshi’s Island,Mirror,Fruit,4,1
Amsterdam Drift,150,Fruit,1,2
Riverside Park,150,Fruit,1,2
DK’s Snowboard Cross,150,Fruit,1,2
Yoshi’s Island,150,Fruit,1,2
Bangkok Rush,Mirror,Boomerang,1,3
Mario Circuit DS,Mirror,Boomerang,2,1
waluigi col,Mirror,Boomerang,2,1
Singapore Speedway,Mirror,Boomerang,2,1
